HDJT,39.9,41.1,15.1
HUSK,35.5,22.6,6.2
IL76,165.7,152.9,27
J328,68.8,69.7,14.9
JS31,52,47.1,19.7
JS32,52,47.1,19.7
JS41,60.4,63.2,21.9
K35R,130.8,136.3,28.7
KODI,45,34.2,13.2
L29B,54.3,60.3,12.7
L5,34,24.1,8.1
L8,35,20,7.2
LA4,38,24.9,14.8
LJ23,35.6,43.3,10.3
LJ24,35.6,43.3,9.6
LJ25,35.6,47.6,9.6
LJ31,43.8,48.7,9.6
LJ35,39.5,48.7,11
LJ40,47.8,55.6,11
LJ45,47.8,58,11
LJ55,43.8,55.1,11
LJ60,43.8,58.7,11
LJ70,50.9,56,11
LJ75,50.9,58,11
LNC4,32.6,25,7.8
LNP4,32.6,25,7.6
M20P,36.1,26.8,9.2
M20T,36.1,26.8,9.2
M5,30.8,23.5,7.4
MD11,170.5,202.2,41.3
MD81,107.9,147.8,20.4
MD82,107.9,147.8,20.4
MD83,107.9,147.8,20.4
MD87,107.9,130.4,20.4
MD88,107.9,147.8,20.4
MD90,107.9,152.6,20.4
MU2,39.2,39.4,7
MU30,43.5,48.4,11.5
NAVI,33.4,27.5,9.4
P180,46,47.3,19
P210,38.8,28.2,9.3
P28A,35,23.8,10.5
P28B,35,24.7,10.5
P28R,35.4,24.7,11
P28T,35.4,24.7,11
P3,99.7,116,34
P32R,36.2,27.7,11.1
P32T,36.2,27.7,11
P46T,43,29.6,12.3
P51,37,32.3,12.3
P68,39.4,31.3,12.3
P750,42,38.8,13
P8,123.6,129.5,22.1
PA11,35.5,23.9,6.8
PA12,35.5,22.8,7
PA16,29.3,20.1,7
PA18,35.3,22.5,6
PA20,29.3,20.5,6.7
PA22,29.3,20.5,7.9
PA23,37.2,27.6,12.4
PA24,36,24.8,10.2
PA25,36.2,24.8,7.4
PA27,37.2,31.2,13
PA30,36.8,25.2,10
PA31,40.7,32.6,13.8
PA32,36.2,27.6,11.1
PA34,38.9,28.6,11.1
PA36,38.8,27.5,8.8
PA38,34,23.1,11.9
PA44,38.6,27.6,10.5
PA46,43,28.9,12.3
PAT4,42.7,34.7,14.3
PAY1,42.7,34.7,15.5
PAY2,42.7,34.7,15.5
PAY3,47.7,43.4,18.8
PAY4,47.7,43.4,18.8
PC12,53.3,47.3,14.8
PC24,55.8,55.3,16.1
PRM1,44.5,46,9.2
R721,108,133.2,27
R722,108,153.2,27
RJ1H,86.4,101.7,19
RJ85,86.4,93.7,19
RV12,26.8,19.9,6.9
S108,33.9,24.5,7.8
S22T,38.3,26,12.4
SB20,81.3,89.5,29.3
SBR1,44.7,46.9,7.6
SBR2,44.7,46.9,7.9
SC7,64.9,41.3,14.2
SF34,74.6,64.7,23.8
SF50,38.7,30.7,12.7
SH33,74.7,58,16.4
SH36,74.8,70.8,16.4
SR20,38.3,26,11
SR22,38.3,26,11.7
SU95,91.2,98.2,22.2
SW3,46.3,42.2,16.4
SW4,57,59.4,20.4
T210,38.8,28.2,9
T28,40.1,33,13.6
T34P,33.3,28.7,11.6
T38,25.3,46.3,11.2
T6,42,29,9.2
TAYB,36,22,7.4
TB20,32.7,25.4,8.3
TBM7,41.6,34.9,12.7
TBM8,41.6,34.9,12.7
TBM9,42.1,35.2,12.7
TEX2,33.4,33.2,9.7
TOBA,32.8,25.4,8.4
V22,45.8,63,16.2
WW24,44.8,52.3,12
