# <ICAO_Airport>,<dep_rwy>,<SID1>,<SID2>,<seperation_minutes>

# EGBB
EGJJ,08,BENIX,BENIX,2
EGJJ,08,BENIX,DIN,2
EGJJ,08,BENIX,LERAK,2
EGJJ,08,BENIX,LUSIT,2
EGJJ,08,BENIX,ORIST,2
EGJJ,08,BENIX,ORTAC,2
EGJJ,08,BENIX,ORVAL,2
EGJJ,08,BENIX,OYSTA,2
EGJJ,08,BENIX,SKERY,2
EGJJ,08,BENIX,TUNIT,2
EGJJ,08,DIN,BENIX,2
EGJJ,08,DIN,DIN,2
EGJJ,08,DIN,LERAK,2
EGJJ,08,DIN,LUSIT,2
EGJJ,08,DIN,ORIST,2
EGJJ,08,DIN,ORTAC,2
EGJJ,08,DIN,ORVAL,2
EGJJ,08,DIN,OYSTA,2
EGJJ,08,DIN,SKERY,2
EGJJ,08,DIN,TUNIT,2
EGJJ,08,LERAK,BENIX,2
EGJJ,08,LERAK,DIN,2
EGJJ,08,LERAK,LERAK,2
EGJJ,08,LERAK,LUSIT,2
EGJJ,08,LERAK,ORIST,2
EGJJ,08,LERAK,ORTAC,2
EGJJ,08,LERAK,ORVAL,2
EGJJ,08,LERAK,OYSTA,2
EGJJ,08,LERAK,SKERY,2
EGJJ,08,LERAK,TUNIT,2
EGJJ,08,LUSIT,BENIX,2
EGJJ,08,LUSIT,DIN,2
EGJJ,08,LUSIT,LERAK,2
EGJJ,08,LUSIT,LUSIT,2
EGJJ,08,LUSIT,ORIST,2
EGJJ,08,LUSIT,ORTAC,2
EGJJ,08,LUSIT,ORVAL,2
EGJJ,08,LUSIT,OYSTA,2
EGJJ,08,LUSIT,SKERY,2
EGJJ,08,LUSIT,TUNIT,2
EGJJ,08,ORIST,BENIX,2
EGJJ,08,ORIST,DIN,2
EGJJ,08,ORIST,LERAK,2
EGJJ,08,ORIST,LUSIT,2
EGJJ,08,ORIST,ORIST,2
EGJJ,08,ORIST,ORTAC,2
EGJJ,08,ORIST,ORVAL,2
EGJJ,08,ORIST,OYSTA,2
EGJJ,08,ORIST,SKERY,2
EGJJ,08,ORIST,TUNIT,2
EGJJ,08,ORTAC,BENIX,2
EGJJ,08,ORTAC,DIN,2
EGJJ,08,ORTAC,LERAK,2
EGJJ,08,ORTAC,LUSIT,2
EGJJ,08,ORTAC,ORIST,2
EGJJ,08,ORTAC,ORTAC,2
EGJJ,08,ORTAC,ORVAL,2
EGJJ,08,ORTAC,OYSTA,2
EGJJ,08,ORTAC,SKERY,2
EGJJ,08,ORTAC,TUNIT,2
EGJJ,08,ORVAL,BENIX,2
EGJJ,08,ORVAL,DIN,2
EGJJ,08,ORVAL,LERAK,2
EGJJ,08,ORVAL,LUSIT,2
EGJJ,08,ORVAL,ORIST,2
EGJJ,08,ORVAL,ORTAC,2
EGJJ,08,ORVAL,ORVAL,2
EGJJ,08,ORVAL,OYSTA,2
EGJJ,08,ORVAL,SKERY,2
EGJJ,08,ORVAL,TUNIT,2
EGJJ,08,OYSTA,BENIX,2
EGJJ,08,OYSTA,DIN,2
EGJJ,08,OYSTA,LERAK,2
EGJJ,08,OYSTA,LUSIT,2
EGJJ,08,OYSTA,ORIST,2
EGJJ,08,OYSTA,ORTAC,2
EGJJ,08,OYSTA,ORVAL,2
EGJJ,08,OYSTA,OYSTA,2
EGJJ,08,OYSTA,SKERY,2
EGJJ,08,OYSTA,TUNIT,2
EGJJ,08,SKERY,BENIX,2
EGJJ,08,SKERY,DIN,2
EGJJ,08,SKERY,LERAK,2
EGJJ,08,SKERY,LUSIT,2
EGJJ,08,SKERY,ORIST,2
EGJJ,08,SKERY,ORTAC,2
EGJJ,08,SKERY,ORVAL,2
EGJJ,08,SKERY,OYSTA,2
EGJJ,08,SKERY,SKERY,2
EGJJ,08,SKERY,TUNIT,2
EGJJ,08,TUNIT,BENIX,2
EGJJ,08,TUNIT,DIN,2
EGJJ,08,TUNIT,LERAK,2
EGJJ,08,TUNIT,LUSIT,2
EGJJ,08,TUNIT,ORIST,2
EGJJ,08,TUNIT,ORTAC,2
EGJJ,08,TUNIT,ORVAL,2
EGJJ,08,TUNIT,OYSTA,2
EGJJ,08,TUNIT,SKERY,2
EGJJ,08,TUNIT,TUNIT,2
EGJJ,26,BENIX,BENIX,2
EGJJ,26,BENIX,DIN,2
EGJJ,26,BENIX,LERAK,2
EGJJ,26,BENIX,LUSIT,2
EGJJ,26,BENIX,ORIST,2
EGJJ,26,BENIX,ORTAC,2
EGJJ,26,BENIX,ORVAL,2
EGJJ,26,BENIX,SKERY,2
EGJJ,26,BENIX,TUNIT,2
EGJJ,26,DIN,BENIX,2
EGJJ,26,DIN,DIN,2
EGJJ,26,DIN,LERAK,2
EGJJ,26,DIN,LUSIT,2
EGJJ,26,DIN,ORIST,2
EGJJ,26,DIN,ORTAC,2
EGJJ,26,DIN,ORVAL,2
EGJJ,26,DIN,SKERY,2
EGJJ,26,DIN,TUNIT,2
EGJJ,26,LERAK,BENIX,2
EGJJ,26,LERAK,DIN,2
EGJJ,26,LERAK,LERAK,2
EGJJ,26,LERAK,LUSIT,2
EGJJ,26,LERAK,ORIST,2
EGJJ,26,LERAK,ORTAC,2
EGJJ,26,LERAK,ORVAL,2
EGJJ,26,LERAK,SKERY,2
EGJJ,26,LERAK,TUNIT,2
EGJJ,26,BENIX,BENIX,2
EGJJ,26,LUSIT,DIN,2
EGJJ,26,LUSIT,LERAK,2
EGJJ,26,LUSIT,LUSIT,2
EGJJ,26,LUSIT,ORIST,2
EGJJ,26,LUSIT,ORTAC,2
EGJJ,26,LUSIT,ORVAL,2
EGJJ,26,LUSIT,SKERY,2
EGJJ,26,LUSIT,TUNIT,2
EGJJ,26,ORIST,BENIX,2
EGJJ,26,ORIST,DIN,2
EGJJ,26,ORIST,LERAK,2
EGJJ,26,ORIST,LUSIT,2
EGJJ,26,ORIST,ORIST,2
EGJJ,26,ORIST,ORTAC,2
EGJJ,26,ORIST,ORVAL,2
EGJJ,26,ORIST,SKERY,2
EGJJ,26,ORIST,TUNIT,2
EGJJ,26,ORTAC,BENIX,2
EGJJ,26,ORTAC,DIN,2
EGJJ,26,ORTAC,LERAK,2
EGJJ,26,ORTAC,LUSIT,2
EGJJ,26,ORTAC,ORIST,2
EGJJ,26,ORTAC,ORTAC,2
EGJJ,26,ORTAC,ORVAL,2
EGJJ,26,ORTAC,SKERY,2
EGJJ,26,ORTAC,TUNIT,2
EGJJ,26,ORVAL,BENIX,2
EGJJ,26,ORVAL,DIN,2
EGJJ,26,ORVAL,LERAK,2
EGJJ,26,ORVAL,LUSIT,2
EGJJ,26,ORVAL,ORIST,2
EGJJ,26,ORVAL,ORTAC,2
EGJJ,26,ORVAL,ORVAL,2
EGJJ,26,ORVAL,SKERY,2
EGJJ,26,ORVAL,TUNIT,2
EGJJ,26,SKERY,BENIX,2
EGJJ,26,SKERY,DIN,2
EGJJ,26,SKERY,LERAK,2
EGJJ,26,SKERY,LUSIT,2
EGJJ,26,SKERY,ORIST,2
EGJJ,26,SKERY,ORTAC,2
EGJJ,26,SKERY,ORVAL,2
EGJJ,26,SKERY,SKERY,2
EGJJ,26,SKERY,TUNIT,2
EGJJ,26,TUNIT,BENIX,2
EGJJ,26,TUNIT,DIN,2
EGJJ,26,TUNIT,LERAK,2
EGJJ,26,TUNIT,LUSIT,2
EGJJ,26,TUNIT,ORIST,2
EGJJ,26,TUNIT,ORTAC,2
EGJJ,26,TUNIT,ORVAL,2
EGJJ,26,TUNIT,SKERY,2
EGJJ,26,TUNIT,TUNIT,2

# EGKK
EGKK,08L,BIG,BIG,3
EGKK,08L,BIG,DVR,3
EGKK,08L,BIG,FRANE,3
EGKK,08L,BIG,IMVUR,1
EGKK,08L,BIG,KENET,1
EGKK,08L,BIG,LAM,2
EGKK,08L,BIG,ODVIK,3
EGKK,08L,BIG,SAM,1
EGKK,08L,BIG,SFD,1
EGKK,08L,DVR,BIG,2
EGKK,08L,DVR,DVR,2
EGKK,08L,DVR,FRANE,2
EGKK,08L,DVR,IMVUR,1
EGKK,08L,DVR,KENET,1
EGKK,08L,DVR,LAM,2
EGKK,08L,DVR,ODVIK,2
EGKK,08L,DVR,SAM,1
EGKK,08L,DVR,SFD,1
EGKK,08L,FRANE,BIG,2
EGKK,08L,FRANE,DVR,2
EGKK,08L,FRANE,FRANE,2
EGKK,08L,FRANE,IMVUR,1
EGKK,08L,FRANE,KENET,1
EGKK,08L,FRANE,LAM,2
EGKK,08L,FRANE,ODVIK,2
EGKK,08L,FRANE,SAM,1
EGKK,08L,FRANE,SFD,1
EGKK,08L,IMVUR,BIG,1
EGKK,08L,IMVUR,DVR,1
EGKK,08L,IMVUR,FRANE,1
EGKK,08L,IMVUR,IMVUR,2
EGKK,08L,IMVUR,KENET,2
EGKK,08L,IMVUR,LAM,2
EGKK,08L,IMVUR,ODVIK,1
EGKK,08L,IMVUR,SAM,2
EGKK,08L,IMVUR,SFD,1
EGKK,08L,KENET,BIG,1
EGKK,08L,KENET,DVR,1
EGKK,08L,KENET,FRANE,1
EGKK,08L,KENET,IMVUR,2
EGKK,08L,KENET,KENET,2
EGKK,08L,KENET,LAM,2
EGKK,08L,KENET,ODVIK,1
EGKK,08L,KENET,SAM,2
EGKK,08L,KENET,SFD,1
EGKK,08L,LAM,BIG,2
EGKK,08L,LAM,DVR,2
EGKK,08L,LAM,FRANE,2
EGKK,08L,LAM,IMVUR,2
EGKK,08L,LAM,KENET,2
EGKK,08L,LAM,LAM,2
EGKK,08L,LAM,ODVIK,2
EGKK,08L,LAM,SAM,2
EGKK,08L,LAM,SFD,1
EGKK,08L,ODVIK,BIG,2
EGKK,08L,ODVIK,DVR,2
EGKK,08L,ODVIK,FRANE,2
EGKK,08L,ODVIK,IMVUR,1
EGKK,08L,ODVIK,KENET,1
EGKK,08L,ODVIK,LAM,2
EGKK,08L,ODVIK,ODVIK,2
EGKK,08L,ODVIK,SAM,1
EGKK,08L,ODVIK,SFD,1
EGKK,08L,SAM,BIG,1
EGKK,08L,SAM,DVR,1
EGKK,08L,SAM,FRANE,1
EGKK,08L,SAM,IMVUR,2
EGKK,08L,SAM,KENET,2
EGKK,08L,SAM,LAM,2
EGKK,08L,SAM,ODVIK,1
EGKK,08L,SAM,SAM,2
EGKK,08L,SAM,SFD,1
EGKK,08L,SFD,BIG,1
EGKK,08L,SFD,DVR,1
EGKK,08L,SFD,FRANE,1
EGKK,08L,SFD,IMVUR,1
EGKK,08L,SFD,KENET,1
EGKK,08L,SFD,LAM,1
EGKK,08L,SFD,ODVIK,1
